jeu_video,description_activite1,description_activite2,activite1_gagnante,commentaire,question,theme,explication
TRUE,Playing with a console you already own,Buy the latest console,TRUE,"For the environment, it's better to play on a console you already have than to buy a new one.",What has the least impact on the environment?,Limiter la quantité,The majority of a console's impact comes from its manufacture. Limiting the number of new consoles we buy contributes to reducing the environmental impact of our gaming practices.
TRUE,Borrow a console from the library or games library,Buying a new console,TRUE,"For the environment, it's better to borrow a console than buy a new one.",What has the least impact on the environment?,Prolonger la durée de vie,Borrowing a console means you don't have to buy a new one. This extends the life of the borrowed console. It's buying a new console that has the biggest impact on the planet. 
TRUE,Sell or donate an unused console,Storing a console at home and not using it,TRUE,Selling or giving away an unused console is better for the environment than storing it at home without playing with it.,What has the least impact on the environment?,Prolonger la durée de vie,"Selling or donating an unused console extends its lifespan, which reduces its impact on the environment. Moreover, when you buy a second-hand console, you avoid the pollution of a new one!"
TRUE,Taking care of your console,Buying a new console when one of its parts is broken,TRUE,"For the environment, it's better to take care of your console than to buy a new one when a part breaks.",What has the least impact on the environment?,Prolonger la durée de vie,"It's the manufacture of the console that has the greatest impact on the environment when we play. The longer you keep your console, taking good care of it, the fewer new consoles you buy. This reduces our impact on the environment. Moreover, the battery in our equipment also needs a great deal of attention to make it last longer."
TRUE,Repair your phone,Buy a new phone,TRUE,"For the environment, it's better to take care of your phone than to buy a new one when a part breaks.","Part of your phone is broken, it's better to…",Prolonger la durée de vie,"When we play, it's the manufacture of the phone that has the biggest impact on the environment. Keeping your phone and taking good care of it reduces your impact on the environment. Batteries need a great deal of attention to make them last longer."
TRUE,Repairing your broken console,Buying a new console when yours is broken,TRUE,"For the environment, it's better to repair your console than to buy a new one.",What has the least impact on the environment?,Prolonger la durée de vie,"Repairing your broken console extends its lifespan and reduces its impact on the environment. The longer you keep your console, the fewer new ones you buy. When it comes to gaming, buying new consoles has the biggest impact on the environment."
TRUE,Buying a second-hand or reconditioned console,Buying a new console,TRUE,Buying a second-hand or reconditioned console extends the console's lifespan and avoids the need to buy a new console.,What has the least impact on the environment?,Prolonger la durée de vie,"Most of the impact comes from the manufacture of equipment. To reduce our impact, it's essential to buy as little new equipment as possible."
TRUE,Owning a console for several people,Have your own console,TRUE,Owing a console between several people has less impact on the environment than having your own console.,What has the least impact on the environment?,Mutualiser,"Sharing a console between several people avoids having to buy several new consoles. Most of the impact of video games comes from the manufacture of the equipment (console, computer, phone, etc.). To reduce our impact, it's essential to avoid buying new equipment."
TRUE,Play a video game for 1 hour,Play a video game for 2 hours,TRUE,Playing for 1 hour has half the environmental impact of playing for 2 hours. ,What has the least impact on the environment?,Consommation,Playing for 2 hours has twice the environmental impact of playing for 1 hour. The environmental impact of X hours of gaming is equivalent to X times the environmental impact of one hour of gaming.
TRUE,"Playing on a conventional, low-power computer",Playing on a powerful gaming computer,TRUE,"A conventional computer will generally be less powerful than a gaming computer, so it will pollute less.",What has the least impact on the environment?,Consommation,"Playing on a gaming computer, which is generally more powerful, will require more electricity than a conventional computer, and will therefore pollute more. But above all, a gaming computer also requires more materials in its manufacture, which greatly increases its pollution. Choosing games compatible with less powerful computers helps reduce your impact on the environment."
