jeu_video,description_activite1,description_activite2,activite1_gagnante,commentaire,question,theme,explication
TRUE,Jouer avec une console que tu as déjà,Acheter la console la plus récente,TRUE,"Pour l'environnement, c'est mieux de jouer sur une console que tu as déjà plutôt que d'en acheter une nouvelle.",Qu'est-ce qui a le moins d'impact sur l'environnement ?,Limiter la quantité,La majorité de l'impact d'une console vient de sa fabrication. Limiter la quantité de consoles neuves achetées contribue un maximum à la réduction de l'impact sur l'environnement de nos pratiques de jeux.
TRUE,Emprunter une console à la bibliothèque ou à la ludothèque,Acheter une nouvelle console,TRUE,"Pour l'environnement, c'est mieux d'emprunter une console plutôt que d'en acheter une nouvelle.",Qu'est-ce qui a le moins d'impact sur l'environnement ?,Prolonger la durée de vie,Emprunter une console permet de ne pas acheter de nouvelle console. Ce qui permet de prolonger la durée de vie de la console empruntée. C'est l'achat d'une nouvelle console qui est très impactant pour la planète. 
TRUE,Vendre ou donner une console inutilisée stockée chez soi,Stocker une console chez soi et ne pas l'utiliser,TRUE,Vendre ou donner une console inutilisée est mieux pour l'environnement que de la stocker chez soi sans jouer avec.,Qu'est-ce qui a le moins d'impact sur l'environnement ?,Prolonger la durée de vie,"Vendre ou donner une console inutilisée permet de prolonger sa durée de vie, ce qui diminue son impact sur l'environnement. De plus, une console deuxième main achetée, c'est la pollution d'une console neuve qui est évitée !"
TRUE,Prendre soin de ta console,Acheter une nouvelle console quand une de ses pièces est cassée,TRUE,"Pour l'environnement, il vaut mieux prendre soin de ta console que d'en acheter une nouvelle quand une pièce est cassée.",Qu'est-ce qui a le moins d'impact sur l'environnement ?,Prolonger la durée de vie,"C'est la fabrication de la console qui a le plus d'impact sur l'environnement lorsqu'on joue. Plus on garde sa console longtemps, en en prenant soin, moins de nouvelles consoles sont achetées. Cela diminue notre impact sur l'environnement. D'ailleurs, la batterie de nos équipements nécessite également une grande attention pour la faire durer plus longtemps."
TRUE,Remplacer la pièce cassée,Acheter un nouveau téléphone,TRUE,"Pour l'environnement, il vaut mieux prendre soin de ton téléphone que d'en acheter un nouveau quand une pièce est cassée.",Une pièce de ton téléphone ne fonctionne plus. Il vaut mieux…,Prolonger la durée de vie,"Lorsqu'on joue, c'est la fabrication du téléphone qui a le plus d'impact sur l'environnement. Garder son téléphone longtemps et en prendre soin diminue notre impact sur l'environnement. Les batteries nécessitent une attention particulière pour les faire durer plus longtemps."
TRUE,Réparer ta console cassée,Acheter une console neuve quand la tienne est cassée,TRUE,"Pour l'environnement, c'est mieux de réparer ta console plutôt que d'en acheter une nouvelle.",Qu'est-ce qui a le moins d'impact sur l'environnement ?,Prolonger la durée de vie,"Réparer ta console cassée permet de prolonger sa durée de vie et de diminuer son impact sur l'environnement. Plus on garde sa console longtemps, moins on en achète de nouvelles. Lorsqu'on joue, c'est l'achat de nouvelles consoles qui a le plus d'impact sur l'environnement."
TRUE,Acheter une console deuxième main ou reconditionnée,Acheter une console neuve,TRUE,Acheter une console deuxième main ou reconditionnée permet de prolonger la durée de vie de la console et d'éviter qu'une console neuve ne soit achetée.,Qu'est-ce qui a le moins d'impact sur l'environnement ?,Prolonger la durée de vie,"La majorité de l'impact vient de la fabrication des équipements. Pour réduire notre impact, il est indispensable d'acheter le moins d'équipements neufs possible."
TRUE,Avoir une console pour plusieurs personnes,Avoir ta console à toi,TRUE,Avoir une console pour plusieurs personnes a moins d'impact sur l'environnement qu'avoir ta console à toi.,Qu'est-ce qui a le moins d'impact sur l'environnement ?,Mutualiser,"Se partager une console entre plusieurs personnes évite que plusieurs consoles neuves soient achetées. La majorité de l'impact des jeux vidéo vient de la fabrication des équipements (console, ordinateur, téléphone, ...). Pour réduire notre impact, il est indispensable d'éviter d'acheter des équipements neufs."
TRUE,Jouer à un jeu vidéo pendant 1 heure,Jouer à un jeu vidéo pendant 2 heures,TRUE,Jouer pendant 1 heure produit 2 fois moins d'impact sur l'environnement que jouer pendant 2 heures. ,Qu'est-ce qui a le moins d'impact sur l'environnement ?,Consommation,Jouer pendant 2 heures a 2 fois plus d'impact sur l'environnement que de jouer pendant 1 heure. L'impact environnemental de X heures de jeu est équivalent à X fois l'impact environnemental d'une heure de jeu.
TRUE,Jouer sur un ordinateur classique peu puissant,Jouer sur un ordinateur de gaming puissant,TRUE,"Un ordinateur classique sera en général moins puissant qu'un ordinateur de gaming, il va donc polluer moins.",Qu'est-ce qui a le moins d'impact sur l'environnement ?,Consommation,"Un ordinateur de gaming est en général plus puissant. Il va demander plus d'électricité qu'un ordinateur classique. Cela génère plus de pollution. Mais surtout, l'ordinateur de gaming a aussi besoin de plus de matériaux dans sa fabrication. Cela augmente sa pollution. Choisir des jeux compatibles avec des ordinateurs moins puissants permet de réduire ton impact sur l'environnement."
